RunNumber,Turbine,m,YawBrMyp,YawBrMzp
180,2,10,2093,2034
181,1,8,4336,4471
181,1,9,4615,4765
181,1,10,4869,5040
181,2,8,3810,3793
181,2,9,4021,3973
181,2,10,4214,4140
182,1,8,1487,1446
182,1,9,1556,1525
182,1,10,1619,1599
182,2,8,1196,1115
182,2,9,1259,1178
182,2,10,1317,1237
183,1,8,5361,5200
183,1,9,5683,5497
183,1,10,5970,5771
183,2,8,5273,4993
183,2,9,5614,5276
183,2,10,5921,5538
184,1,8,3710,4267
184,1,9,3932,4556
184,1,10,4139,4819
184,2,8,2814,3050
184,2,9,2967,3251
184,2,10,3108,3437
185,1,8,4387,4382
185,1,9,4693,4685
185,1,10,4969,4959
185,2,8,4612,4356
185,2,9,4936,4648
185,2,10,5232,4913
186,1,8,2874,3041
186,1,9,3020,3186
186,1,10,3154,3324
186,2,8,2316,2432
186,2,9,2445,2555
186,2,10,2564,2670
187,1,8,4883,5220
187,1,9,5211,5534
187,1,10,5515,5814
187,2,8,4828,5133
187,2,9,5171,5441
187,2,10,5491,5716
188,1,8,3901,3843
188,1,9,4099,4051
188,1,10,4280,4244
188,2,8,2822,2865
188,2,9,2968,3008
188,2,10,3103,3138
189,1,8,2968,3343
189,1,9,3124,3516
189,1,10,3265,3673
189,2,8,2737,2989
189,2,9,2915,3185
189,2,10,3079,3361
190,1,8,1959,1964
190,1,9,2076,2062
190,1,10,2186,2155
190,2,8,1521,1535
190,2,9,1604,1617
190,2,10,1682,1694
191,1,8,5794,5972
191,1,9,6138,6333
191,1,10,6447,6663
191,2,8,5384,5913
191,2,9,5705,6287
191,2,10,5998,6626
192,1,8,4301,4442
192,1,9,4552,4650
192,1,10,4784,4838
192,2,8,3631,3330
192,2,9,3864,3496
