Run,Turbine,Seed,meanU,Ti,alpha,HFlowAng,distBetweenWTG
163,1,1,14.0128937,17.9860001,0.236,-0.125,3
163,2,1,11.9869623,19.2956619,0.236,-0.125,3
164,1,1,7.6322899,17.3540001,0.181,-1.608,3
164,2,1,5.2359886,23.7729988,0.181,-1.608,3
165,1,1,11.1545877,19.3889999,0.034,-0.741,3
165,2,1,8.169487,24.059288,0.034,-0.741,3
166,1,1,4.4900689,26.1149998,-0.238,-7.955,3
166,2,1,3.3637159,35.2613449,-0.238,-7.955,3
167,1,1,19.3315182,15.8360004,0.119,0.499,3
167,2,1,18.2597275,15.9003105,0.119,0.499,3
168,1,1,9.07411,15.7410002,0.125,2.321,3
168,2,1,6.1680255,22.6972313,0.125,2.321,3
169,1,1,13.2919855,16.1590004,0.181,-0.04,3
169,2,1,10.9558239,18.5486908,0.181,-0.04,3
170,1,1,6.8962274,22.0160007,-0.041,-2.431,3
170,2,1,4.9342432,27.2916985,-0.041,-2.431,3
171,1,1,15.2837448,16.7399998,0.113,-2.07,3
171,2,1,13.5835962,17.6520901,0.113,-2.07,3
172,1,1,7.996489,19.882,0.135,-0.865,3
172,2,1,5.5436683,26.2981815,0.135,-0.865,3
173,1,1,10.1858177,17.7970009,0.148,1.966,3
173,2,1,7.2277365,23.2727757,0.148,1.966,3
174,1,1,5.4961886,28.0170002,0.479,-4.638,3
174,2,1,4.0974107,37.2867622,0.479,-4.638,3
175,1,1,17.3992767,17.0189991,0.165,-1.071,3
175,2,1,16.1024323,17.2314014,0.165,-1.071,3
176,1,1,9.928175,18.625,0.178,-1.899,3
176,2,1,7.0958948,23.7899685,0.178,-1.899,3
177,1,1,12.1084604,17.368,0.183,-1.649,3
177,2,1,9.2350302,21.0828934,0.183,-1.649,3
178,1,1,5.8809714,21.4330006,0.132,-3.139,3
178,2,1,4.1257925,27.3070946,0.132,-3.139,3
179,1,1,14.0583858,15.7220001,0.226,-0.52,3
179,2,1,11.8907785,17.6651764,0.226,-0.52,3
180,1,1,7.3603163,15.7150002,0.135,0.458,3
180,2,1,5.1196227,21.8889809,0.135,0.458,3
181,1,1,11.2801666,17.1410007,0.3,-1.302,3
181,2,1,8.2016144,22.0249615,0.3,-1.302,3
182,1,1,4.722147,19.0709991,0.075,6.097,3
182,2,1,3.4592938,23.9894714,0.075,6.097,3
183,1,1,20.5829563,14.9370003,0.241,-0.036,3
183,2,1,19.6118298,15.2128067,0.241,-0.036,3
184,1,1,8.6865673,20.6700001,0.009,-0.574,3
184,2,1,6.1433315,26.2736244,0.009,-0.574,3
185,1,1,12.9590712,15.5129995,0.157,1.017,3
185,2,1,10.5094042,18.2522888,0.157,1.017,3
186,1,1,6.8643699,22.9060001,-0.096,1.018,3
186,2,1,4.868763,28.1364098,-0.096,1.018,3
187,1,1,16.5109768,15.8529997,0.176,-1.706,3
187,2,1,15.1515808,16.3895531,0.176,-1.706,3
188,1,1,8.6479616,22.4899998,0.259,-0.197,3
188,2,1,6.1734409,27.67976,0.259,-0.197,3
189,1,1,10.5715723,14.8000002,-0.013,1.325,3
189,2,1,7.4847679,20.5707932,-0.013,1.325,3
190,1,1,4.9735713,24.3570004,-0.199,-5.549,3
190,2,1,3.6595669,28.6067486,-0.199,-5.549,3
191,1,1,16.883173,16.9060001,0.183,0.378,3
191,2,1,15.455821,17.1725292,0.183,0.378,3
192,1,1,9.2042847,20.8689995,0.266,-1.813,3
192,2,1,6.5558591,26.4049244,0.266,-1.813,3
193,1,1,12.2528076,16.9799995,0.309,-0.236,3
193,2,1,9.5368814,20.410574,0.309,-0.236,3
194,1,1,6.3570218,22.7709999,0.264,-1.48,3
194,2,1,4.5902767,27.6899033,0.264,-1.48,3
195,1,1,14.5189381,14.7950001,0.239,0.736,3
195,2,1,12.6017838,16.5656013,0.239,0.736,3
196,1,1,7.7474079,26.8770008,0.05,-0.936,3
196,2,1,5.8183651,36.312027,0.05,-0.936,3
197,1,1,10.9635019,18.2450008,0.169,-1.143,3
197,2,1,8.0183039,22.8174915,0.169,-1.143,3
198,1,1,4.3065481,36.105999,0.072,0.324,3
198,2,1,3.2048604,46.2967682,0.072,0.324,3
199,1,1,19.6861668,13.5319996,0.234,0.686,3
199,2,1,18.6537304,14.4286747,0.234,0.686,3
200,1,1,9.0417471,18.6630001,0.192,0.503,3
200,2,1,6.2966518,24.5474739,0.192,0.503,3
201,1,1,12.5918522,14.5120001,0.1,-0.22,5
201,2,1,10.5532837,16.8627071,0.1,-0.22,5
202,1,1,6.3951197,23.0510006,-0.046,-3.103,5
202,2,1,5.1836085,24.8015423,-0.046,-3.103,5
203,1,1,14.5670242,16.118,0.302,0.393,5
203,2,1,13.0716066,17.09972,0.302,0.393,5
204,1,1,7.8382511,24.9130001,0.144,-3.404,5
204,2,1,6.5299287,30.9220181,0.144,-3.404,5
205,1,1,11.2303534,17.3029995,0.151,-0.242,5
205,2,1,8.9787169,20.0150375,0.151,-0.242,5
206,1,1,4.0590658,31.2980003,0.175,-0.28,5
206,2,1,3.4128828,35.4543228,0.175,-0.28,5
207,1,1,20.4764862,15.5550003,0.119,0.4,5
207,2,1,19.7297115,15.3314333,0.119,0.4,5
208,1,1,8.9706964,17.1240005,0.156,-0.649,5
208,2,1,7.3193827,19.4904003,0.156,-0.649,5
209,1,1,13.4670801,17.2770004,0.147,-1.529,5
209,2,1,11.7679291,18.3035927,0.147,-1.529,5
210,1,1,7.1387506,21.7350006,0.334,-3.777,5
210,2,1,5.7539787,23.78368,0.334,-3.777,5
211,1,1,15.260335,15.9460001,0.207,-0.738,5
211,2,1,13.8269033,16.6239815,0.207,-0.738,5
212,1,1,7.8531494,16.8260002,0.394,0.866,5
212,2,1,6.1586065,20.0992661,0.394,0.866,5
213,1,1,10.1793213,17.5879993,0.066,0.954,5
213,2,1,8.0989838,20.5139275,0.066,0.954,5
214,1,1,5.3192887,30.0499992,-0.061,-0.317,5
214,2,1,4.5007133,34.3630066,-0.061,-0.317,5
215,1,1,18.4163971,13.1789999,0.105,-1.316,5
215,2,1,17.4528179,14.0681887,0.105,-1.316,5
216,1,1,9.7332554,15.7139997,0.104,-0.006,5
216,2,1,7.8280897,18.5665817,0.104,-0.006,5
217,1,1,11.7138023,15.2340002,0.116,-2.147,5
217,2,1,9.4262342,18.2880402,0.116,-2.147,5
218,1,1,5.7169867,23.1380005,0.078,-1.108,5
218,2,1,4.6483574,25.0326099,0.078,-1.108,5
219,1,1,13.9874372,16.8500004,0.166,0.524,5
219,2,1,12.3946266,17.6118412,0.166,0.524,5
220,1,1,7.279439,20.2469997,0.229,-0.302,5
220,2,1,5.8865995,22.6028996,0.229,-0.302,5
221,1,1,11.5264359,14.8549995,0.055,-2.57,5
221,2,1,9.1887341,18.0293026,0.055,-2.57,5
222,1,1,4.6478262,22.4699993,-0.165,1.015,5
222,2,1,3.7299395,24.521513,-0.165,1.015,5
223,1,1,22.1573372,12.7980003,0.135,-1.629,5
223,2,1,21.4992294,13.5072355,0.135,-1.629,5
224,1,1,8.808568,20.9500008,0.058,-2.104,5
224,2,1,7.1264181,23.0294437,0.058,-2.104,5
225,1,1,12.5098944,15.6809998,0.301,-1.75,5
225,2,1,10.4818211,17.8103256,0.301,-1.75,5
226,1,1,6.6238151,27.8339996,-0.158,-1.119,5
226,2,1,5.4684467,33.3769722,-0.158,-1.119,5
227,1,1,15.5747576,16.2140007,0.241,-0.387,5
227,2,1,14.3747931,16.5643635,0.241,-0.387,5
228,1,1,8.3784122,17.8439999,0.12,-0.923,5
228,2,1,6.7266431,20.39328,0.12,-0.923,5
229,1,1,10.7256365,19.3700008,0.076,-2.365,5
229,2,1,8.6673594,21.9774952,0.076,-2.365,5
230,1,1,5.218049,23.6639996,-0.073,0.069,5
230,2,1,4.3542547,24.6318169,-0.073,0.069,5
231,1,1,16.4113178,13.7950001,0.086,1.331,5
231,2,1,15.2071342,14.756608,0.086,1.331,5
232,1,1,9.8384876,21.3129997,0.068,1.446,5
232,2,1,7.9251971,23.3763313,0.068,1.446,5
233,1,1,12.1375141,16.3530006,0.136,-1.252,5
233,2,1,9.9930878,18.7812252,0.136,-1.252,5
234,1,1,6.0435929,23.4659996,-0.107,-3.386,5
234,2,1,4.9419594,25.0176563,-0.107,-3.386,5
235,1,1,14.2299919,15.6409998,0.165,-0.05,5
235,2,1,12.7013102,16.6999931,0.165,-0.05,5
236,1,1,7.4700694,17.9510002,0.247,-1.761,5
236,2,1,5.87672,20.8903656,0.247,-1.761,5
237,1,1,11.0188313,16.3759995,0.231,-2.451,5
237,2,1,9.0735321,18.7479992,0.231,-2.451,5
238,1,1,4.3288889,25.4820004,0.153,-2.272,5
238,2,1,3.5727346,32.0174561,0.153,-2.272,5
239,1,1,18.9042645,14.6379995,0.109,0.303,5
239,2,1,18.0427818,14.9645929,0.109,0.303,5
240,1,1,9.2206097,13.7799997,-0.016,0.243,5
240,2,1,7.1261425,17.8734722,-0.016,0.243,5
